STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,Cluster
3317,NSW,K-HUB,Inner Regional,AUSTRALIA,4.020678,155320,31.36724308,590076,4871960.2,3
1284,VIC,KMART,Inner Regional,AUSTRALIA,6.193301,731201,47.43327187,4541630,34683255.82,1
1007,VIC,KMART,Satellite City/Regional City,AUSTRALIA,4.893312,1047438,39.16270175,5419627,41020502.0,2
3356,VIC,K-HUB,Inner Regional,AUSTRALIA,4.011815,180859,33.94803145,674236,6139807.02,1
1170,S.A,KMART,Outer Metro,AUSTRALIA,5.779805,1110830,44.73544181,6606970,49693470.83,3
1088,W.A,KMART,Outer Metro,AUSTRALIA,4.557669,695884,37.55374539,3414140,26133050.56,1
1258,QLD,KMART,Satellite City/Regional City,AUSTRALIA,5.042565,933353,37.63388056,4811909,35125695.32,2
1178,QLD,KMART,Outer Metro,AUSTRALIA,5.383912,849666,42.63441955,4729460,36225016.72,3
1164,VIC,KMART,Outer Metro,AUSTRALIA,4.039999,856253,31.18491046,3667645,26702173.13,1
1379,NSW,KMART,Outer Metro,AUSTRALIA,1.4,1,-310.27272,-7,-310.27,0
1130,NSW,KMART,Satellite City/Regional City,AUSTRALIA,5.198463,1073164,39.97241866,5640529,42896960.7,2
1058,NSW,KMART,Middle Metro,AUSTRALIA,4.546251,963789,33.22584243,4076983,32022701.45,3
1017,QLD,KMART,Middle Metro,AUSTRALIA,4.76168,738193,42.45634475,3769590,31340976.5,3
1019,NSW,KMART,Satellite City/Regional City,AUSTRALIA,5.352894,1248196,41.88524261,6692716,52280992.28,2
1089,VIC,KMART,Outer Regional,AUSTRALIA,4.991059,493763,39.43356148,2577583,19470833.62,1
1183,VIC,KMART,Outer Metro,AUSTRALIA,4.844052,479449,38.92785621,2502155,18663921.73,1
1241,W.A,KMART,Inner Regional,AUSTRALIA,5.312787,704507,42.8778415,3806732,30207739.48,1
1123,NSW,KMART,Outer Metro,AUSTRALIA,5.28303,1288833,42.42722672,6824703,54681609.89,3
3352,VIC,K-HUB,Outer Regional,AUSTRALIA,4.336224,263212,34.74480478,1059659,9145249.56,1
1163,VIC,KMART,Inner Metro,AUSTRALIA,4.468636,949864,36.6556164,4226372,34817850.42,1
1095,VIC,KMART,Middle Metro,AUSTRALIA,429.256659,820,9773.43013,666648,8014212.71,1
1177,QLD,KMART,Outer Metro,AUSTRALIA,4.922773,759076,38.94836942,3943307,29564772.47,3
3333,NSW,K-HUB,Inner Regional,AUSTRALIA,4.349456,182178,34.84754537,746254,6348456.12,3
1051,VIC,KMART,Satellite City/Regional City,AUSTRALIA,4.502807,648818,35.56500745,3070648,23075217.0,2
1384,VIC,KMART,Inner Metro,AUSTRALIA,3.461669,1867220,26.92804626,6405500,50280586.54,1
